company_name,company_market,company_city,company_category_list,total_funding,investor_rating,company_max_round,keyword_clusters,final_cluster
VirtualLogix,Software,Sunnyvale,|Mobile|Virtualization|Software|,29.289,10,2,22,94
Deem,E-Commerce,San Francisco,|Trading|Marketplaces|Content Syndication|Productivity Software|E-Commerce|,516.905,9.82,8,21,25
Pandora Media,Broadcasting,Oakland,|Broadcasting|Video Streaming|Music|,56.300,9.73,4,27,38
PlayFirst,Games,San Francisco,|iPhone|Mobile Games|Games|,37.720,10,3,3,29
Socialtext,Enterprise Software,Palo Alto,|Collaboration|Software|Networking|Web Tools|Enterprise Software|,46.770,9.82,4,26,4
SideStep,Hotels,Santa Clara,|Ticketing|Hotels|Travel|,32.000,10,3,15,41
Soundflavor,Music,San Francisco,|Ediscovery|Music|,5.800,7.4,1,16,16
Executive Caddie,iPhone,Mountain View,|Windows Phone 7|iPhone|Sports|Software|,3.000,6,0,22,9
VisualOn,Software,San Jose,|Software|,2.700,7.5,2,6,1
Innovative Silicon,Semiconductors,Santa Clara,|Semiconductors|,72.000,10,3,4,75
Gracenote,Music,Emeryville,|Music|Games|,33.400,9.25,4,16,16
Aperto Networks,Mobile,Milpitas,|Wireless|Mobile|,160.280,9.97,6,22,58
Polimetrix,Analytics,Palo Alto,|Analytics|,3.000,10,1,13,39
StrongView,Enterprise Software,Redwood City,|SaaS|Advertising|Displays|Social Media|Email Marketing|Enterprise Software|,38.100,10,4,7,17
Mobissimo,Travel,San Francisco,|Travel|,1.000,10,0,15,41
Plaxo,Curated Web,Sunnyvale,|Trading|Synchronization|Databases|Contact Management|Curated Web|,28.300,10,4,22,94
LiveOps,Cloud Computing,Redwood City,|Crowdsourcing|Cloud Computing|Enterprise Software|,81.000,9.86,3,24,93
Tesla Motors,Automotive,Palo Alto,|Automotive|,823.000,9.85,6,22,15
Firetide,Mobile,Campbell,|Mobile|,39.790,9.6,5,5,99
Art.com,Design,Emeryville,|Art|Design|,26.240,10,3,22,94
CAPNIA,Health Care,Palo Alto,|Health Care|Health and Wellness|Gas|Medical|Biotechnology|,22.219,10,2,18,5
Blazent,Enterprise Software,San Mateo,|Enterprise Software|,51.275,10,3,1,22
eASIC,Semiconductors,Santa Clara,|Semiconductors|,139.144,9.95,5,4,43
ChemoCentryx,Health Care,Mountain View,|Health Care|Biotechnology|,80.540,9.81,4,0,66
Sadra Medical,Health Care,Campbell,|Health Care|,62.000,9.8,3,0,80
Nanostellar,Nanotechnology,Redwood City,|Nanotechnology|,13.050,9,5,22,94
Danger,Software,Palo Alto,|Software|,118.300,10,5,6,51
Alpha and Omega Semiconductor,Technology,Sunnyvale,|Technology|Semiconductors|,1.750,5,0,4,20
Fathom Online,Advertising,San Francisco,|Advertising|,6.000,10,1,8,23
Akimbo,Personal Branding,San Mateo,|Recruiting|Personal Branding|Games|,36.150,10,4,22,61
Mode Media,Fashion,Brisbane,|Women|Fashion|Curated Web|,214.600,9.96,6,9,35
Teneros,Messaging,Mountain View,|Enterprises|Messaging|,92.500,10,4,17,32
AllBusiness.com,Curated Web,San Francisco,|Small and Medium Businesses|Publishing|Media|Curated Web|,22.400,10,3,22,94
Yelp,Customer Service,San Francisco,|Customer Service|Reviews and Recommendations|Search|,56.000,10,5,19,77
mBlox,SMS,Sunnyvale,|Wireless|SMS|Mobile|,121.843,9.83,4,22,0
Zend Technologies,PaaS,Cupertino,|PaaS|SaaS|Mobile|Services|Cloud Computing|Software|,44.000,9.89,4,24,11
Elance,Curated Web,Mountain View,|Freelancers|Human Resources|Outsourcing|Employment|Career Management|Curated Web|,94.828,10,0,22,0
SugarCRM,Enterprise Software,Cupertino,|Cloud Computing|Enterprise Software|CRM|Software|,100.520,10,6,24,93
JotSpot,Software,Palo Alto,|Software|,5.200,10,1,6,1
MobiTV,Games,Emeryville,|Games|,142.799,10,4,3,98
AccountNow,Finance,San Ramon,|Finance|,34.072,9.2,3,14,27
Craigslist,Curated Web,San Francisco,|Curated Web|,13.500,10,0,9,6
BitPass,Curated Web,Mountain View,|Curated Web|,13.300,9.83,2,9,6
Technorati,Advertising,San Francisco,|Search|Advertising|,32.100,9.6,4,19,33
imeem,Photography,San Francisco,|Video|Photography|Music|,27.132,9,1,16,16
adBrite,Publishing,San Francisco,|Auctions|Publishing|Advertising|,40.400,10,3,22,61
"Become, Inc.",E-Commerce Platforms,Sunnyvale,|Comparison Shopping|Advertising Platforms|Performance Marketing|E-Commerce Platforms|Shopping|Search|,37.200,8.8,4,22,61
Facebook,Communities,Menlo Park,|Communities|Identity|All Students|Colleges|Facebook Applications|Social Media|,2425.700,10,4,22,26
EndoGastric Solutions,Health Care,San Mateo,|Health Care|,156.251,9.98,7,0,42
LinkedIn,Software,Mountain View,|Social Recruiting|Software|Networking|Social Media|,206.121,9.91,5,26,81
Orb Networks,Software,Oakland,|Software|,4.000,10,1,6,1
Simply Hired,Search,Sunnyvale,|Search|,34.300,7.94,5,19,33
IronPort Systems,Security,San Bruno,|Security|,61.500,10,4,12,28
Linden Lab,Games,San Francisco,|Games|,19.000,9.67,2,3,29
Switchfly,Software,San Francisco,|Software|,34.800,9.25,3,6,84
Sling Media,Hardware + Software,Foster City,|Television|Hardware + Software|,14.500,10,1,10,21
AirTight Networks,Wireless,Mountain View,|Wireless|Security|,46.750,10,4,12,28
Splunk,Software,San Francisco,|Software|,40.000,10,3,6,84
