company_name,total_funding,company_market,company_city,company_max_round,isAcquired,company_city_popular,company_market_popular,investor_ratings,company_category_list
VirtualLogix,29.288979,Software,Sunnyvale,2,1,Sunnyvale,Software,10.0,|Mobile|Virtualization|Software|
Deem,56.3,Broadcasting,Oakland,8,0,Other_city,Other_market,9.821428571428571,|Trading|Marketplaces|Content Syndication|Productivity Software|E-Commerce|
Pandora Media,32.0,Hotels,Santa Clara,4,0,Santa Clara,Other_market,9.727272727272727,|Broadcasting|Video Streaming|Music|
PlayFirst,5.8,Music,San Francisco,3,1,San Francisco,Music,10.0,|iPhone|Mobile Games|Games|
Socialtext,3.0,iPhone,Mountain View,4,1,Mountain View,Other_market,9.818181818181818,|Collaboration|Software|Networking|Web Tools|Enterprise Software|
SideStep,33.4,Music,Emeryville,3,1,Other_city,Music,10.0,|Ticketing|Hotels|Travel|
Soundflavor,28.3,Curated Web,Sunnyvale,1,0,Sunnyvale,Curated Web,7.4,|Ediscovery|Music|
Executive Caddie,823.0,Automotive,Palo Alto,0,0,Palo Alto,Other_market,6.0,|Windows Phone 7|iPhone|Sports|Software|
VisualOn,80.54,Health Care,Mountain View,2,0,Mountain View,Health Care,7.5,|Software|
Innovative Silicon,62.0,Health Care,Campbell,3,0,Other_city,Health Care,10.0,|Semiconductors|
Gracenote,13.05,Nanotechnology,Redwood City,4,1,Redwood City,Other_market,9.25,|Music|Games|
Aperto Networks,22.4,Curated Web,San Francisco,6,1,San Francisco,Curated Web,9.972972972972974,|Wireless|Mobile|
Polimetrix,142.799,Games,Emeryville,1,1,Other_city,Games,10.0,|Analytics|
StrongView,34.072,Finance,San Ramon,4,0,Other_city,Finance,10.0,|SaaS|Advertising|Displays|Social Media|Email Marketing|Enterprise Software|
Mobissimo,13.3,Curated Web,Mountain View,0,0,Mountain View,Curated Web,10.0,|Travel|
Plaxo,27.132127,Photography,San Francisco,4,1,San Francisco,Photography,10.0,|Trading|Synchronization|Databases|Contact Management|Curated Web|
LiveOps,40.4,Publishing,San Francisco,3,0,San Francisco,Other_market,9.857142857142858,|Crowdsourcing|Cloud Computing|Enterprise Software|
Tesla Motors,37.2,E-Commerce Platforms,Sunnyvale,6,1,Sunnyvale,Other_market,9.852941176470589,|Automotive|
Firetide,19.0,Games,San Francisco,5,0,San Francisco,Games,9.6,|Mobile|
Art.com,14.5,Hardware + Software,Foster City,3,0,Other_city,Hardware + Software,10.0,|Art|Design|
CAPNIA,40.0,Software,San Francisco,2,0,San Francisco,Software,10.0,|Health Care|Health and Wellness|Gas|Medical|Biotechnology|
Blazent,25.0,Games,San Francisco,3,0,San Francisco,Games,10.0,|Enterprise Software|
eASIC,141.535713,Security,San Jose,5,0,San Jose,Security,9.95,|Semiconductors|
ChemoCentryx,73.0,Health and Wellness,Brisbane,4,0,Other_city,Health and Wellness,9.8125,|Health Care|Biotechnology|
